probe_id,lhs_holder,lhs_value_class,lhs_bytes,lhs_canon,rhs_holder,rhs_value_class,rhs_bytes,rhs_canon,output_bytes,output_canon
P6_5_0_1_3,int,base_42,0000002a,"[1, 1.3125, 5]",short,base_zero,0000,"[1, 0.0, 0]",,RAISE:ArithmeticException
P6_5_1_0_3,int,base_zero,00000000,"[1, 0.0, 0]",short,base_42,002a,"[1, 1.3125, 5]",00000000,"[1, 0.0, 0]"
P6_5_1_1_3,int,base_zero,00000000,"[1, 0.0, 0]",short,base_zero,0000,"[1, 0.0, 0]",,RAISE:ArithmeticException
P6_6_0_0_3,int,base_42,0000002a,"[1, 1.3125, 5]",int,base_42,0000002a,"[1, 1.3125, 5]",00000001,"[1, 1.0, 0]"
P6_6_0_1_3,int,base_42,0000002a,"[1, 1.3125, 5]",int,base_zero,00000000,"[1, 0.0, 0]",,RAISE:ArithmeticException
P6_6_1_0_3,int,base_zero,00000000,"[1, 0.0, 0]",int,base_42,0000002a,"[1, 1.3125, 5]",00000000,"[1, 0.0, 0]"
P6_6_1_1_3,int,base_zero,00000000,"[1, 0.0, 0]",int,base_zero,00000000,"[1, 0.0, 0]",,RAISE:ArithmeticException
P6_7_0_0_3,int,base_42,0000002a,"[1, 1.3125, 5]",long,base_42,000000000000002a,"[1, 1.3125, 5]",0000000000000001,"[1, 1.0, 0]"
P6_7_0_1_3,int,base_42,0000002a,"[1, 1.3125, 5]",long,base_zero,0000000000000000,"[1, 0.0, 0]",,RAISE:ArithmeticException
P6_7_0_2_3,int,base_42,0000002a,"[1, 1.3125, 5]",long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",0000000000000000,"[1, 0.0, 0]"
P6_7_0_4_3,int,base_42,0000002a,"[1, 1.3125, 5]",long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",0000000000000000,"[1, 0.0, 0]"
P6_7_1_0_3,int,base_zero,00000000,"[1, 0.0, 0]",long,base_42,000000000000002a,"[1, 1.3125, 5]",0000000000000000,"[1, 0.0, 0]"
P6_7_1_1_3,int,base_zero,00000000,"[1, 0.0, 0]",long,base_zero,0000000000000000,"[1, 0.0, 0]",,RAISE:ArithmeticException
P6_7_1_2_3,int,base_zero,00000000,"[1, 0.0, 0]",long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",0000000000000000,"[1, 0.0, 0]"
P6_7_1_4_3,int,base_zero,00000000,"[1, 0.0, 0]",long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",0000000000000000,"[1, 0.0, 0]"
P6_8_0_0_3,int,base_42,0000002a,"[1, 1.3125, 5]",Integer,base_42,0000002a,"[1, 1.3125, 5]",00000001,"[1, 1.0, 0]"
P6_8_0_1_3,int,base_42,0000002a,"[1, 1.3125, 5]",Integer,base_zero,00000000,"[1, 0.0, 0]",,RAISE:ArithmeticException
P6_8_1_0_3,int,base_zero,00000000,"[1, 0.0, 0]",Integer,base_42,0000002a,"[1, 1.3125, 5]",00000000,"[1, 0.0, 0]"
P6_8_1_1_3,int,base_zero,00000000,"[1, 0.0, 0]",Integer,base_zero,00000000,"[1, 0.0, 0]",,RAISE:ArithmeticException
P6_9_0_0_3,int,base_42,0000002a,"[1, 1.3125, 5]",Long,base_42,000000000000002a,"[1, 1.3125, 5]",0000000000000001,"[1, 1.0, 0]"
P6_9_0_1_3,int,base_42,0000002a,"[1, 1.3125, 5]",Long,base_zero,0000000000000000,"[1, 0.0, 0]",,RAISE:ArithmeticException
P6_9_0_2_3,int,base_42,0000002a,"[1, 1.3125, 5]",Long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",0000000000000000,"[1, 0.0, 0]"
P6_9_0_4_3,int,base_42,0000002a,"[1, 1.3125, 5]",Long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",0000000000000000,"[1, 0.0, 0]"
P6_9_1_0_3,int,base_zero,00000000,"[1, 0.0, 0]",Long,base_42,000000000000002a,"[1, 1.3125, 5]",0000000000000000,"[1, 0.0, 0]"
P6_9_1_1_3,int,base_zero,00000000,"[1, 0.0, 0]",Long,base_zero,0000000000000000,"[1, 0.0, 0]",,RAISE:ArithmeticException
P6_9_1_2_3,int,base_zero,00000000,"[1, 0.0, 0]",Long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",0000000000000000,"[1, 0.0, 0]"
P6_9_1_4_3,int,base_zero,00000000,"[1, 0.0, 0]",Long,p53_plus1,0020000000000001,"[1, 1.0000000000000001110223024625157, 53]",0000000000000000,"[1, 0.0, 0]"
P6_11_0_0_3,int,base_42,0000002a,"[1, 1.3125, 5]",double,base_1_5,3ff8000000000000,"[1, 1.5, 0]",403c000000000000,"[1, 1.75, 4]"
P6_11_0_1_3,int,base_42,0000002a,"[1, 1.3125, 5]",double,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",402abcef9018d72c,"[1, 1.6711269024649011427641198679339, 3]"
P6_11_0_2_3,int,base_42,0000002a,"[1, 1.3125, 5]",double,inf,7ff0000000000000,"[1, inf]",0000000000000000,"[1, 0.0, 0]"
P6_11_0_3_3,int,base_42,0000002a,"[1, 1.3125, 5]",double,nan,7ff8000000000000,nan,7ff8000000000000,nan
P6_11_0_4_3,int,base_42,0000002a,"[1, 1.3125, 5]",double,negzero,8000000000000000,"[-1, 0.0, 0]",fff0000000000000,"[-1, inf]"
P6_11_0_5_3,int,base_42,0000002a,"[1, 1.3125, 5]",double,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",407a400000000000,"[1, 1.640625, 8]"
P6_11_1_0_3,int,base_zero,00000000,"[1, 0.0, 0]",double,base_1_5,3ff8000000000000,"[1, 1.5, 0]",0000000000000000,"[1, 0.0, 0]"
P6_11_1_1_3,int,base_zero,00000000,"[1, 0.0, 0]",double,base_pi,400921fb54442d18,"[1, 1.5707963267948965579989817342721, 1]",0000000000000000,"[1, 0.0, 0]"
P6_11_1_2_3,int,base_zero,00000000,"[1, 0.0, 0]",double,inf,7ff0000000000000,"[1, inf]",0000000000000000,"[1, 0.0, 0]"
P6_11_1_3_3,int,base_zero,00000000,"[1, 0.0, 0]",double,nan,7ff8000000000000,nan,7ff8000000000000,nan
P6_11_1_4_3,int,base_zero,00000000,"[1, 0.0, 0]",double,negzero,8000000000000000,"[-1, 0.0, 0]",fff8000000000000,nan
P6_11_1_5_3,int,base_zero,00000000,"[1, 0.0, 0]",double,point1,3fb999999999999a,"[1, 1.6000000000000000888178419700125, -4]",0000000000000000,"[1, 0.0, 0]"
P6_12_0_0_3,int,base_42,0000002a,"[1, 1.3125, 5]",float,base_1_5,3fc00000,"[1, 1.5, 0]",41e00000,"[1, 1.75, 4]"
P6_12_0_1_3,int,base_42,0000002a,"[1, 1.3125, 5]",float,base_pi,40490fdb,"[1, 1.57079637050628662109375, 1]",4155e77c,"[1, 1.671126842498779296875, 3]"
P6_12_0_2_3,int,base_42,0000002a,"[1, 1.3125, 5]",float,inf,7f800000,"[1, inf]",00000000,"[1, 0.0, 0]"
P6_12_0_3_3,int,base_42,0000002a,"[1, 1.3125, 5]",float,nan,7fc00000,nan,7fc00000,nan
P6_12_0_4_3,int,base_42,0000002a,"[1, 1.3125, 5]",float,negzero,80000000,"[-1, 0.0, 0]",ff800000,"[-1, inf]"
P6_12_0_5_3,int,base_42,0000002a,"[1, 1.3125, 5]",float,point1,3dcccccd,"[1, 1.60000002384185791015625, -4]",43d20000,"[1, 1.640625, 8]"
P6_12_1_0_3,int,base_zero,00000000,"[1, 0.0, 0]",float,base_1_5,3fc00000,"[1, 1.5, 0]",00000000,"[1, 0.0, 0]"
P6_12_1_1_3,int,base_zero,00000000,"[1, 0.0, 0]",float,base_pi,40490fdb,"[1, 1.57079637050628662109375, 1]",00000000,"[1, 0.0, 0]"
P6_12_1_2_3,int,base_zero,00000000,"[1, 0.0, 0]",float,inf,7f800000,"[1, inf]",00000000,"[1, 0.0, 0]"
P6_12_1_3_3,int,base_zero,00000000,"[1, 0.0, 0]",float,nan,7fc00000,nan,7fc00000,nan
P6_12_1_4_3,int,base_zero,00000000,"[1, 0.0, 0]",float,negzero,80000000,"[-1, 0.0, 0]",ffc00000,nan
P6_12_1_5_3,int,base_zero,00000000,"[1, 0.0, 0]",float,point1,3dcccccd,"[1, 1.60000002384185791015625, -4]",00000000,"[1, 0.0, 0]"
P7_5_0_0_3,long,base_42,000000000000002a,"[1, 1.3125, 5]",short,base_42,002a,"[1, 1.3125, 5]",0000000000000001,"[1, 1.0, 0]"
P7_5_0_1_3,long,base_42,000000000000002a,"[1, 1.3125, 5]",short,base_zero,0000,"[1, 0.0, 0]",,RAISE:ArithmeticException
P7_5_1_0_3,long,base_zero,0000000000000000,"[1, 0.0, 0]",short,base_42,002a,"[1, 1.3125, 5]",0000000000000000,"[1, 0.0, 0]"
P7_5_1_1_3,long,base_zero,0000000000000000,"[1, 0.0, 0]",short,base_zero,0000,"[1, 0.0, 0]",,RAISE:ArithmeticException
P7_5_2_0_3,long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",short,base_42,002a,"[1, 1.3125, 5]",030c30c30c30c30c,"[1, 1.5238095238095238082021154468748, 57]"
P7_5_2_1_3,long,i64max,7fffffffffffffff,"[1, 1.9999999999999999997831595655029, 62]",short,base_zero,0000,"[1, 0.0, 0]",,RAISE:ArithmeticException
